detector,sketch,seed,anomaly_type,tp,fp,fn,precision,recall,f1
baseline_raw_l1,CMS,44,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CU-CMS,44,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CS,44,ALL,7,0,2,1,0.777778,0.875
improved_normalized,CMS,44,ALL,9,0,0,1,1,1
improved_normalized,CU-CMS,44,ALL,9,0,0,1,1,1
improved_normalized,CS,44,ALL,9,0,0,1,1,1
baseline_raw_l1,CMS,45,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CU-CMS,45,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CS,45,ALL,7,0,2,1,0.777778,0.875
improved_normalized,CMS,45,ALL,9,1,0,0.9,1,0.947368
improved_normalized,CU-CMS,45,ALL,9,1,0,0.9,1,0.947368
improved_normalized,CS,45,ALL,9,1,0,0.9,1,0.947368
baseline_raw_l1,CMS,46,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CU-CMS,46,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CS,46,ALL,7,0,2,1,0.777778,0.875
improved_normalized,CMS,46,ALL,9,0,0,1,1,1
improved_normalized,CU-CMS,46,ALL,9,0,0,1,1,1
improved_normalized,CS,46,ALL,9,0,0,1,1,1
baseline_raw_l1,CMS,47,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CU-CMS,47,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CS,47,ALL,7,0,2,1,0.777778,0.875
improved_normalized,CMS,47,ALL,9,1,0,0.9,1,0.947368
improved_normalized,CU-CMS,47,ALL,9,1,0,0.9,1,0.947368
improved_normalized,CS,47,ALL,9,1,0,0.9,1,0.947368
baseline_raw_l1,CMS,48,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CU-CMS,48,ALL,7,0,2,1,0.777778,0.875
baseline_raw_l1,CS,48,ALL,7,0,2,1,0.777778,0.875
improved_normalized,CMS,48,ALL,9,0,0,1,1,1
improved_normalized,CU-CMS,48,ALL,9,0,0,1,1,1
improved_normalized,CS,48,ALL,9,0,0,1,1,1
