sketch,scheme,seed,tp,fp,fn,f1
CMS,uniform,42,1,0,8,0.2
CU-CMS,uniform,42,1,0,8,0.2
CS,uniform,42,1,0,8,0.2
CMS,logarithmic,42,9,3,0,0.857143
CU-CMS,logarithmic,42,9,3,0,0.857143
CS,logarithmic,42,9,3,0,0.857143
CMS,uniform,43,1,0,8,0.2
CU-CMS,uniform,43,1,0,8,0.2
CS,uniform,43,1,0,8,0.2
CMS,logarithmic,43,9,1,0,0.947368
CU-CMS,logarithmic,43,9,1,0,0.947368
CS,logarithmic,43,9,1,0,0.947368
CMS,uniform,44,2,0,7,0.363636
CU-CMS,uniform,44,2,0,7,0.363636
CS,uniform,44,2,0,7,0.363636
CMS,logarithmic,44,9,1,0,0.947368
CU-CMS,logarithmic,44,9,1,0,0.947368
CS,logarithmic,44,9,1,0,0.947368
