sketch,bins,width,seed,tp,fp,fn,f1
CMS,4,2560,42,9,0,0,1
CU-CMS,4,2560,42,9,0,0,1
CS,4,2560,42,9,1,0,0.947368
CMS,4,2560,43,9,0,0,1
CU-CMS,4,2560,43,9,0,0,1
CS,4,2560,43,9,1,0,0.947368
CMS,4,2560,44,9,0,0,1
CU-CMS,4,2560,44,9,0,0,1
CS,4,2560,44,9,1,0,0.947368
CMS,8,1280,42,9,2,0,0.9
CU-CMS,8,1280,42,9,2,0,0.9
CS,8,1280,42,9,20,0,0.473684
CMS,8,1280,43,9,2,0,0.9
CU-CMS,8,1280,43,9,2,0,0.9
CS,8,1280,43,9,19,0,0.486486
CMS,8,1280,44,9,0,0,1
CU-CMS,8,1280,44,9,0,0,1
CS,8,1280,44,9,15,0,0.545455
CMS,16,640,42,9,7,0,0.72
CU-CMS,16,640,42,9,6,0,0.75
CS,16,640,42,9,134,0,0.118421
CMS,16,640,43,9,8,0,0.692308
CU-CMS,16,640,43,9,6,0,0.75
CS,16,640,43,9,126,0,0.125
CMS,16,640,44,9,10,0,0.642857
CU-CMS,16,640,44,9,0,0,1
CS,16,640,44,9,98,0,0.155172
CMS,32,320,42,9,168,0,0.0967742
CU-CMS,32,320,42,9,65,0,0.216867
CS,32,320,42,9,1408,0,0.0126227
CMS,32,320,43,9,169,0,0.0962567
CU-CMS,32,320,43,9,77,0,0.189474
CS,32,320,43,9,1411,0,0.0125962
CMS,32,320,44,9,135,0,0.117647
CU-CMS,32,320,44,9,49,0,0.268657
CS,32,320,44,9,1285,0,0.0138143
