sketch,n_packets,seed,accuracy,background_none_rate
CMS,100,42,0.4,1
CU-CMS,100,42,0.4,1
CS,100,42,0.4,1
CMS,100,43,0.2,1
CU-CMS,100,43,0.2,1
CS,100,43,0.2,1
CMS,100,44,0.4,1
CU-CMS,100,44,0.4,1
CS,100,44,0.4,1
CMS,200,42,0.6,1
CU-CMS,200,42,0.6,1
CS,200,42,0.6,1
CMS,200,43,0.6,1
CU-CMS,200,43,0.6,1
CS,200,43,0.6,1
CMS,200,44,0.6,1
CU-CMS,200,44,0.6,1
CS,200,44,0.6,1
CMS,500,42,1,1
CU-CMS,500,42,1,1
CS,500,42,1,1
CMS,500,43,1,1
CU-CMS,500,43,1,1
CS,500,43,1,1
CMS,500,44,0.8,1
CU-CMS,500,44,0.8,1
CS,500,44,0.8,1
CMS,1000,42,1,1
CU-CMS,1000,42,1,1
CS,1000,42,1,1
CMS,1000,43,1,1
CU-CMS,1000,43,1,1
CS,1000,43,1,1
CMS,1000,44,1,1
CU-CMS,1000,44,1,1
CS,1000,44,1,1
