sketch,epoch_size,seed,tp,fp,fn,f1
CMS,500,42,5,0,4,0.714286
CU-CMS,500,42,5,0,4,0.714286
CS,500,42,5,0,4,0.714286
CMS,500,43,5,0,4,0.714286
CU-CMS,500,43,5,0,4,0.714286
CS,500,43,5,0,4,0.714286
CMS,500,44,6,0,3,0.8
CU-CMS,500,44,6,0,3,0.8
CS,500,44,6,0,3,0.8
CMS,1000,42,8,0,1,0.941176
CU-CMS,1000,42,8,0,1,0.941176
CS,1000,42,8,0,1,0.941176
CMS,1000,43,8,0,1,0.941176
CU-CMS,1000,43,8,0,1,0.941176
CS,1000,43,8,0,1,0.941176
CMS,1000,44,8,1,1,0.888889
CU-CMS,1000,44,8,1,1,0.888889
CS,1000,44,8,1,1,0.888889
CMS,2000,42,9,0,0,1
CU-CMS,2000,42,9,0,0,1
CS,2000,42,9,0,0,1
CMS,2000,43,9,1,0,0.947368
CU-CMS,2000,43,9,1,0,0.947368
CS,2000,43,9,1,0,0.947368
CMS,2000,44,9,1,0,0.947368
CU-CMS,2000,44,9,1,0,0.947368
CS,2000,44,9,1,0,0.947368
CMS,5000,42,9,3,0,0.857143
CU-CMS,5000,42,9,3,0,0.857143
CS,5000,42,9,3,0,0.857143
CMS,5000,43,9,1,0,0.947368
CU-CMS,5000,43,9,1,0,0.947368
CS,5000,43,9,1,0,0.947368
CMS,5000,44,9,1,0,0.947368
CU-CMS,5000,44,9,1,0,0.947368
CS,5000,44,9,1,0,0.947368
CMS,10000,42,9,4,0,0.818182
CU-CMS,10000,42,9,4,0,0.818182
CS,10000,42,9,5,0,0.782609
CMS,10000,43,9,2,0,0.9
CU-CMS,10000,43,9,2,0,0.9
CS,10000,43,9,2,0,0.9
CMS,10000,44,9,4,0,0.818182
CU-CMS,10000,44,9,4,0,0.818182
CS,10000,44,9,4,0,0.818182
