sketch,num_flows,seed,tp,fp,fn,f1
CMS,100,42,9,3,0,0.857143
CU-CMS,100,42,9,3,0,0.857143
CS,100,42,9,3,0,0.857143
CMS,100,43,9,1,0,0.947368
CU-CMS,100,43,9,1,0,0.947368
CS,100,43,9,1,0,0.947368
CMS,100,44,9,1,0,0.947368
CU-CMS,100,44,9,1,0,0.947368
CS,100,44,9,1,0,0.947368
CMS,500,42,9,3,0,0.857143
CU-CMS,500,42,9,3,0,0.857143
CS,500,42,9,3,0,0.857143
CMS,500,43,9,2,0,0.9
CU-CMS,500,43,9,2,0,0.9
CS,500,43,9,2,0,0.9
CMS,500,44,9,1,0,0.947368
CU-CMS,500,44,9,1,0,0.947368
CS,500,44,9,1,0,0.947368
CMS,1000,42,9,3,0,0.857143
CU-CMS,1000,42,9,3,0,0.857143
CS,1000,42,9,4,0,0.818182
CMS,1000,43,8,2,1,0.842105
CU-CMS,1000,43,8,2,1,0.842105
CS,1000,43,8,2,1,0.842105
CMS,1000,44,9,5,0,0.782609
CU-CMS,1000,44,9,5,0,0.782609
CS,1000,44,9,5,0,0.782609
CMS,5000,42,9,3,0,0.857143
CU-CMS,5000,42,9,3,0,0.857143
CS,5000,42,9,3,0,0.857143
CMS,5000,43,9,1,0,0.947368
CU-CMS,5000,43,9,1,0,0.947368
CS,5000,43,9,1,0,0.947368
CMS,5000,44,9,0,0,1
CU-CMS,5000,44,9,0,0,1
CS,5000,44,9,0,0,1
CMS,10000,42,9,4,0,0.818182
CU-CMS,10000,42,9,4,0,0.818182
CS,10000,42,9,4,0,0.818182
CMS,10000,43,9,1,0,0.947368
CU-CMS,10000,43,9,1,0,0.947368
CS,10000,43,9,1,0,0.947368
CMS,10000,44,9,2,0,0.9
CU-CMS,10000,44,9,2,0,0.9
CS,10000,44,9,2,0,0.9
