seed,sketch,scenario,detected_dhs,detected_scalar,l1,count_ratio
42,CMS,LatencySpike,1,0,4030.0000,0.0000
42,CMS,Spread,1,0,662.0000,0.0000
42,CMS,GradualRamp,1,0,370.0000,0.0000
42,CU-CMS,LatencySpike,1,0,4030.0000,0.0000
42,CU-CMS,Spread,1,0,662.0000,0.0000
42,CU-CMS,GradualRamp,1,0,370.0000,0.0000
42,CS,LatencySpike,1,0,4030.0000,0.0000
42,CS,Spread,1,0,662.0000,0.0000
42,CS,GradualRamp,1,0,370.0000,0.0000
43,CMS,LatencySpike,1,0,4048.0000,0.0000
43,CMS,Spread,1,0,704.0000,0.0000
43,CMS,GradualRamp,1,0,356.0000,0.0000
43,CU-CMS,LatencySpike,1,0,4048.0000,0.0000
43,CU-CMS,Spread,1,0,704.0000,0.0000
43,CU-CMS,GradualRamp,1,0,356.0000,0.0000
43,CS,LatencySpike,1,0,4048.0000,0.0000
43,CS,Spread,1,0,704.0000,0.0000
43,CS,GradualRamp,1,0,356.0000,0.0000
44,CMS,LatencySpike,1,0,4034.0000,0.0000
44,CMS,Spread,1,0,682.0000,0.0000
44,CMS,GradualRamp,1,0,340.0000,0.0000
44,CU-CMS,LatencySpike,1,0,4034.0000,0.0000
44,CU-CMS,Spread,1,0,682.0000,0.0000
44,CU-CMS,GradualRamp,1,0,340.0000,0.0000
44,CS,LatencySpike,1,0,4034.0000,0.0000
44,CS,Spread,1,0,682.0000,0.0000
44,CS,GradualRamp,1,0,340.0000,0.0000
