sketch,width,memory_bytes,seed,tp,fp,fn,f1
CMS,32,15360,44,9,1,0,0.947368
CU-CMS,32,15360,44,9,3,0,0.857143
CS,32,15360,44,9,16,0,0.529412
CMS,32,15360,45,9,2,0,0.9
CU-CMS,32,15360,45,9,2,0,0.9
CS,32,15360,45,9,18,0,0.5
CMS,32,15360,46,9,2,0,0.9
CU-CMS,32,15360,46,9,2,0,0.9
CS,32,15360,46,9,14,0,0.5625
CMS,32,15360,47,9,2,0,0.9
CU-CMS,32,15360,47,9,4,0,0.818182
CS,32,15360,47,9,21,0,0.461538
CMS,32,15360,48,9,2,0,0.9
CU-CMS,32,15360,48,9,2,0,0.9
CS,32,15360,48,9,18,0,0.5
CMS,64,30720,44,9,0,0,1
CU-CMS,64,30720,44,9,0,0,1
CS,64,30720,44,9,4,0,0.818182
CMS,64,30720,45,9,2,0,0.9
CU-CMS,64,30720,45,9,1,0,0.947368
CS,64,30720,45,9,4,0,0.818182
CMS,64,30720,46,9,0,0,1
CU-CMS,64,30720,46,9,0,0,1
CS,64,30720,46,9,3,0,0.857143
CMS,64,30720,47,9,1,0,0.947368
CU-CMS,64,30720,47,9,1,0,0.947368
CS,64,30720,47,9,5,0,0.782609
CMS,64,30720,48,9,0,0,1
CU-CMS,64,30720,48,9,0,0,1
CS,64,30720,48,9,5,0,0.782609
CMS,128,61440,44,9,0,0,1
CU-CMS,128,61440,44,9,0,0,1
CS,128,61440,44,9,0,0,1
CMS,128,61440,45,9,1,0,0.947368
CU-CMS,128,61440,45,9,1,0,0.947368
CS,128,61440,45,9,1,0,0.947368
CMS,128,61440,46,9,0,0,1
CU-CMS,128,61440,46,9,0,0,1
CS,128,61440,46,9,0,0,1
CMS,128,61440,47,9,1,0,0.947368
CU-CMS,128,61440,47,9,1,0,0.947368
CS,128,61440,47,9,1,0,0.947368
CMS,128,61440,48,9,0,0,1
CU-CMS,128,61440,48,9,0,0,1
CS,128,61440,48,9,1,0,0.947368
CMS,256,122880,44,9,0,0,1
CU-CMS,256,122880,44,9,0,0,1
CS,256,122880,44,9,0,0,1
CMS,256,122880,45,9,1,0,0.947368
CU-CMS,256,122880,45,9,1,0,0.947368
CS,256,122880,45,9,2,0,0.9
CMS,256,122880,46,9,0,0,1
CU-CMS,256,122880,46,9,0,0,1
CS,256,122880,46,9,0,0,1
CMS,256,122880,47,9,1,0,0.947368
CU-CMS,256,122880,47,9,1,0,0.947368
CS,256,122880,47,9,1,0,0.947368
CMS,256,122880,48,9,0,0,1
CU-CMS,256,122880,48,9,0,0,1
CS,256,122880,48,9,0,0,1
CMS,512,245760,44,9,0,0,1
CU-CMS,512,245760,44,9,0,0,1
CS,512,245760,44,9,0,0,1
CMS,512,245760,45,9,1,0,0.947368
CU-CMS,512,245760,45,9,1,0,0.947368
CS,512,245760,45,9,1,0,0.947368
CMS,512,245760,46,9,0,0,1
CU-CMS,512,245760,46,9,0,0,1
CS,512,245760,46,9,0,0,1
CMS,512,245760,47,9,1,0,0.947368
CU-CMS,512,245760,47,9,1,0,0.947368
CS,512,245760,47,9,1,0,0.947368
CMS,512,245760,48,9,0,0,1
CU-CMS,512,245760,48,9,0,0,1
CS,512,245760,48,9,0,0,1
CMS,1024,491520,44,9,0,0,1
CU-CMS,1024,491520,44,9,0,0,1
CS,1024,491520,44,9,0,0,1
CMS,1024,491520,45,9,1,0,0.947368
CU-CMS,1024,491520,45,9,1,0,0.947368
CS,1024,491520,45,9,1,0,0.947368
CMS,1024,491520,46,9,0,0,1
CU-CMS,1024,491520,46,9,0,0,1
CS,1024,491520,46,9,0,0,1
CMS,1024,491520,47,9,1,0,0.947368
CU-CMS,1024,491520,47,9,1,0,0.947368
CS,1024,491520,47,9,1,0,0.947368
CMS,1024,491520,48,9,0,0,1
CU-CMS,1024,491520,48,9,0,0,1
CS,1024,491520,48,9,0,0,1
