detector,sketch,seed,anomaly_type,tp,fn,recall
baseline_raw_l1,CMS,44,SuddenSpike,2,0,1
baseline_raw_l1,CMS,44,GradualRamp,0,2,0
baseline_raw_l1,CMS,44,PeriodicBurst,3,0,1
baseline_raw_l1,CMS,44,Spread,0,1,0
baseline_raw_l1,CMS,44,Disappearance,0,1,0
baseline_raw_l1,CU-CMS,44,SuddenSpike,2,0,1
baseline_raw_l1,CU-CMS,44,GradualRamp,0,2,0
baseline_raw_l1,CU-CMS,44,PeriodicBurst,3,0,1
baseline_raw_l1,CU-CMS,44,Spread,0,1,0
baseline_raw_l1,CU-CMS,44,Disappearance,0,1,0
baseline_raw_l1,CS,44,SuddenSpike,2,0,1
baseline_raw_l1,CS,44,GradualRamp,0,2,0
baseline_raw_l1,CS,44,PeriodicBurst,3,0,1
baseline_raw_l1,CS,44,Spread,0,1,0
baseline_raw_l1,CS,44,Disappearance,0,1,0
improved_normalized,CMS,44,SuddenSpike,2,0,1
improved_normalized,CMS,44,GradualRamp,2,0,1
improved_normalized,CMS,44,PeriodicBurst,3,0,1
improved_normalized,CMS,44,Spread,1,0,1
improved_normalized,CMS,44,Disappearance,1,0,1
improved_normalized,CU-CMS,44,SuddenSpike,2,0,1
improved_normalized,CU-CMS,44,GradualRamp,2,0,1
improved_normalized,CU-CMS,44,PeriodicBurst,3,0,1
improved_normalized,CU-CMS,44,Spread,1,0,1
improved_normalized,CU-CMS,44,Disappearance,1,0,1
improved_normalized,CS,44,SuddenSpike,2,0,1
improved_normalized,CS,44,GradualRamp,2,0,1
improved_normalized,CS,44,PeriodicBurst,3,0,1
improved_normalized,CS,44,Spread,1,0,1
improved_normalized,CS,44,Disappearance,1,0,1
baseline_raw_l1,CMS,45,SuddenSpike,2,0,1
baseline_raw_l1,CMS,45,GradualRamp,0,2,0
baseline_raw_l1,CMS,45,PeriodicBurst,3,0,1
baseline_raw_l1,CMS,45,Spread,0,1,0
baseline_raw_l1,CMS,45,Disappearance,0,1,0
baseline_raw_l1,CU-CMS,45,SuddenSpike,2,0,1
baseline_raw_l1,CU-CMS,45,GradualRamp,0,2,0
baseline_raw_l1,CU-CMS,45,PeriodicBurst,3,0,1
baseline_raw_l1,CU-CMS,45,Spread,0,1,0
baseline_raw_l1,CU-CMS,45,Disappearance,0,1,0
baseline_raw_l1,CS,45,SuddenSpike,2,0,1
baseline_raw_l1,CS,45,GradualRamp,0,2,0
baseline_raw_l1,CS,45,PeriodicBurst,3,0,1
baseline_raw_l1,CS,45,Spread,0,1,0
baseline_raw_l1,CS,45,Disappearance,0,1,0
improved_normalized,CMS,45,SuddenSpike,2,0,1
improved_normalized,CMS,45,GradualRamp,2,0,1
improved_normalized,CMS,45,PeriodicBurst,3,0,1
improved_normalized,CMS,45,Spread,1,0,1
improved_normalized,CMS,45,Disappearance,1,0,1
improved_normalized,CU-CMS,45,SuddenSpike,2,0,1
improved_normalized,CU-CMS,45,GradualRamp,2,0,1
improved_normalized,CU-CMS,45,PeriodicBurst,3,0,1
improved_normalized,CU-CMS,45,Spread,1,0,1
improved_normalized,CU-CMS,45,Disappearance,1,0,1
improved_normalized,CS,45,SuddenSpike,2,0,1
improved_normalized,CS,45,GradualRamp,2,0,1
improved_normalized,CS,45,PeriodicBurst,3,0,1
improved_normalized,CS,45,Spread,1,0,1
improved_normalized,CS,45,Disappearance,1,0,1
baseline_raw_l1,CMS,46,SuddenSpike,2,0,1
baseline_raw_l1,CMS,46,GradualRamp,0,2,0
baseline_raw_l1,CMS,46,PeriodicBurst,3,0,1
baseline_raw_l1,CMS,46,Spread,0,1,0
baseline_raw_l1,CMS,46,Disappearance,0,1,0
baseline_raw_l1,CU-CMS,46,SuddenSpike,2,0,1
baseline_raw_l1,CU-CMS,46,GradualRamp,0,2,0
baseline_raw_l1,CU-CMS,46,PeriodicBurst,3,0,1
baseline_raw_l1,CU-CMS,46,Spread,0,1,0
baseline_raw_l1,CU-CMS,46,Disappearance,0,1,0
baseline_raw_l1,CS,46,SuddenSpike,2,0,1
baseline_raw_l1,CS,46,GradualRamp,0,2,0
baseline_raw_l1,CS,46,PeriodicBurst,3,0,1
baseline_raw_l1,CS,46,Spread,0,1,0
baseline_raw_l1,CS,46,Disappearance,0,1,0
improved_normalized,CMS,46,SuddenSpike,2,0,1
improved_normalized,CMS,46,GradualRamp,2,0,1
improved_normalized,CMS,46,PeriodicBurst,3,0,1
improved_normalized,CMS,46,Spread,1,0,1
improved_normalized,CMS,46,Disappearance,1,0,1
improved_normalized,CU-CMS,46,SuddenSpike,2,0,1
improved_normalized,CU-CMS,46,GradualRamp,2,0,1
improved_normalized,CU-CMS,46,PeriodicBurst,3,0,1
improved_normalized,CU-CMS,46,Spread,1,0,1
improved_normalized,CU-CMS,46,Disappearance,1,0,1
improved_normalized,CS,46,SuddenSpike,2,0,1
improved_normalized,CS,46,GradualRamp,2,0,1
improved_normalized,CS,46,PeriodicBurst,3,0,1
improved_normalized,CS,46,Spread,1,0,1
improved_normalized,CS,46,Disappearance,1,0,1
baseline_raw_l1,CMS,47,SuddenSpike,2,0,1
baseline_raw_l1,CMS,47,GradualRamp,0,2,0
baseline_raw_l1,CMS,47,PeriodicBurst,3,0,1
baseline_raw_l1,CMS,47,Spread,0,1,0
baseline_raw_l1,CMS,47,Disappearance,0,1,0
baseline_raw_l1,CU-CMS,47,SuddenSpike,2,0,1
baseline_raw_l1,CU-CMS,47,GradualRamp,0,2,0
baseline_raw_l1,CU-CMS,47,PeriodicBurst,3,0,1
baseline_raw_l1,CU-CMS,47,Spread,0,1,0
baseline_raw_l1,CU-CMS,47,Disappearance,0,1,0
baseline_raw_l1,CS,47,SuddenSpike,2,0,1
baseline_raw_l1,CS,47,GradualRamp,0,2,0
baseline_raw_l1,CS,47,PeriodicBurst,3,0,1
baseline_raw_l1,CS,47,Spread,0,1,0
baseline_raw_l1,CS,47,Disappearance,0,1,0
improved_normalized,CMS,47,SuddenSpike,2,0,1
improved_normalized,CMS,47,GradualRamp,1,1,0.5
improved_normalized,CMS,47,PeriodicBurst,3,0,1
improved_normalized,CMS,47,Spread,1,0,1
improved_normalized,CMS,47,Disappearance,1,0,1
improved_normalized,CU-CMS,47,SuddenSpike,2,0,1
improved_normalized,CU-CMS,47,GradualRamp,1,1,0.5
improved_normalized,CU-CMS,47,PeriodicBurst,3,0,1
improved_normalized,CU-CMS,47,Spread,1,0,1
improved_normalized,CU-CMS,47,Disappearance,1,0,1
improved_normalized,CS,47,SuddenSpike,2,0,1
improved_normalized,CS,47,GradualRamp,1,1,0.5
improved_normalized,CS,47,PeriodicBurst,3,0,1
improved_normalized,CS,47,Spread,1,0,1
improved_normalized,CS,47,Disappearance,1,0,1
baseline_raw_l1,CMS,48,SuddenSpike,2,0,1
baseline_raw_l1,CMS,48,GradualRamp,0,2,0
baseline_raw_l1,CMS,48,PeriodicBurst,3,0,1
baseline_raw_l1,CMS,48,Spread,0,1,0
baseline_raw_l1,CMS,48,Disappearance,0,1,0
baseline_raw_l1,CU-CMS,48,SuddenSpike,2,0,1
baseline_raw_l1,CU-CMS,48,GradualRamp,0,2,0
baseline_raw_l1,CU-CMS,48,PeriodicBurst,3,0,1
baseline_raw_l1,CU-CMS,48,Spread,0,1,0
baseline_raw_l1,CU-CMS,48,Disappearance,0,1,0
baseline_raw_l1,CS,48,SuddenSpike,2,0,1
baseline_raw_l1,CS,48,GradualRamp,0,2,0
