sketch,snapshots,width,seed,tp,fp,fn,f1
CMS,2,2048,42,9,3,0,0.857143
CU-CMS,2,2048,42,9,3,0,0.857143
CS,2,2048,42,9,3,0,0.857143
CMS,2,2048,43,9,1,0,0.947368
CU-CMS,2,2048,43,9,1,0,0.947368
CS,2,2048,43,9,1,0,0.947368
CMS,2,2048,44,9,1,0,0.947368
CU-CMS,2,2048,44,9,1,0,0.947368
CS,2,2048,44,9,1,0,0.947368
CMS,4,1024,42,9,3,0,0.857143
CU-CMS,4,1024,42,9,3,0,0.857143
CS,4,1024,42,9,3,0,0.857143
CMS,4,1024,43,9,1,0,0.947368
CU-CMS,4,1024,43,9,1,0,0.947368
CS,4,1024,43,9,1,0,0.947368
CMS,4,1024,44,9,1,0,0.947368
CU-CMS,4,1024,44,9,1,0,0.947368
CS,4,1024,44,9,1,0,0.947368
CMS,8,512,42,9,3,0,0.857143
CU-CMS,8,512,42,9,3,0,0.857143
CS,8,512,42,9,3,0,0.857143
CMS,8,512,43,9,1,0,0.947368
CU-CMS,8,512,43,9,1,0,0.947368
CS,8,512,43,9,2,0,0.9
CMS,8,512,44,9,1,0,0.947368
CU-CMS,8,512,44,9,1,0,0.947368
CS,8,512,44,9,1,0,0.947368
CMS,16,256,42,9,3,0,0.857143
CU-CMS,16,256,42,9,3,0,0.857143
CS,16,256,42,9,3,0,0.857143
CMS,16,256,43,9,1,0,0.947368
CU-CMS,16,256,43,9,1,0,0.947368
CS,16,256,43,9,4,0,0.818182
CMS,16,256,44,9,1,0,0.947368
CU-CMS,16,256,44,9,1,0,0.947368
CS,16,256,44,9,1,0,0.947368
