threshold,sketch,seed,f1
0.05,CMS,42,0.75
0.05,CU-CMS,42,0.75
0.05,CS,42,0.75
0.05,CMS,43,0.857143
0.05,CU-CMS,43,0.857143
0.05,CS,43,0.857143
0.1,CMS,42,0.75
0.1,CU-CMS,42,0.75
0.1,CS,42,0.75
0.1,CMS,43,0.9
0.1,CU-CMS,43,0.9
0.1,CS,43,0.9
0.15,CMS,42,0.782609
0.15,CU-CMS,42,0.782609
0.15,CS,42,0.782609
0.15,CMS,43,0.947368
0.15,CU-CMS,43,0.947368
0.15,CS,43,0.947368
0.2,CMS,42,0.857143
0.2,CU-CMS,42,0.857143
0.2,CS,42,0.857143
0.2,CMS,43,0.947368
0.2,CU-CMS,43,0.947368
0.2,CS,43,0.947368
0.25,CMS,42,0.857143
0.25,CU-CMS,42,0.857143
0.25,CS,42,0.857143
0.25,CMS,43,0.888889
0.25,CU-CMS,43,0.888889
0.25,CS,43,0.888889
0.3,CMS,42,0.8
0.3,CU-CMS,42,0.8
0.3,CS,42,0.8
0.3,CMS,43,0.941176
0.3,CU-CMS,43,0.941176
0.3,CS,43,0.941176
0.35,CMS,42,0.777778
0.35,CU-CMS,42,0.777778
0.35,CS,42,0.777778
0.35,CMS,43,0.875
0.35,CU-CMS,43,0.875
0.35,CS,43,0.875
0.4,CMS,42,0.823529
0.4,CU-CMS,42,0.823529
0.4,CS,42,0.823529
0.4,CMS,43,0.875
0.4,CU-CMS,43,0.875
0.4,CS,43,0.875
0.45,CMS,42,0.875
0.45,CU-CMS,42,0.875
0.45,CS,42,0.875
0.45,CMS,43,0.875
0.45,CU-CMS,43,0.875
0.45,CS,43,0.875
0.5,CMS,42,0.875
0.5,CU-CMS,42,0.875
0.5,CS,42,0.875
0.5,CMS,43,0.875
0.5,CU-CMS,43,0.875
0.5,CS,43,0.875
0.6,CMS,42,0.875
0.6,CU-CMS,42,0.875
0.6,CS,42,0.875
0.6,CMS,43,0.875
0.6,CU-CMS,43,0.875
0.6,CS,43,0.875
0.75,CMS,42,0.8
0.75,CU-CMS,42,0.8
0.75,CS,42,0.8
0.75,CMS,43,0.8
0.75,CU-CMS,43,0.8
0.75,CS,43,0.8
1,CMS,42,0
1,CU-CMS,42,0
1,CS,42,0
1,CMS,43,0
1,CU-CMS,43,0
1,CS,43,0
1.25,CMS,42,0
1.25,CU-CMS,42,0
1.25,CS,42,0
1.25,CMS,43,0
1.25,CU-CMS,43,0
1.25,CS,43,0
1.5,CMS,42,0
1.5,CU-CMS,42,0
1.5,CS,42,0
1.5,CMS,43,0
1.5,CU-CMS,43,0
1.5,CS,43,0
