sketch,zipf_alpha,seed,tp,fp,fn,f1
CMS,0.5,42,9,5,0,0.782609
CU-CMS,0.5,42,9,5,0,0.782609
CS,0.5,42,9,5,0,0.782609
CMS,0.5,43,9,8,0,0.692308
CU-CMS,0.5,43,9,8,0,0.692308
CS,0.5,43,9,8,0,0.692308
CMS,0.5,44,9,5,0,0.782609
CU-CMS,0.5,44,9,5,0,0.782609
CS,0.5,44,9,5,0,0.782609
CMS,1,42,8,7,1,0.666667
CU-CMS,1,42,8,7,1,0.666667
CS,1,42,8,7,1,0.666667
CMS,1,43,9,4,0,0.818182
CU-CMS,1,43,9,4,0,0.818182
CS,1,43,9,4,0,0.818182
CMS,1,44,8,8,1,0.64
CU-CMS,1,44,8,8,1,0.64
CS,1,44,8,9,1,0.615385
CMS,1.5,42,9,3,0,0.857143
CU-CMS,1.5,42,9,3,0,0.857143
CS,1.5,42,9,3,0,0.857143
CMS,1.5,43,9,1,0,0.947368
CU-CMS,1.5,43,9,1,0,0.947368
CS,1.5,43,9,1,0,0.947368
CMS,1.5,44,9,1,0,0.947368
CU-CMS,1.5,44,9,1,0,0.947368
CS,1.5,44,9,1,0,0.947368
CMS,2,42,9,0,0,1
CU-CMS,2,42,9,0,0,1
CS,2,42,9,0,0,1
CMS,2,43,9,1,0,0.947368
CU-CMS,2,43,9,1,0,0.947368
CS,2,43,9,1,0,0.947368
CMS,2,44,9,1,0,0.947368
CU-CMS,2,44,9,1,0,0.947368
CS,2,44,9,1,0,0.947368
